Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2014","2014","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2015","2015","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2016","2016","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2017","2017","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","674","Protein supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2014","2014","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2015","2015","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2016","2016","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2017","2017","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","684","Fat supply quantity (g/capita/day)","0232","Eggs, other bird, in shell","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0232","Eggs, other bird, in shell","2014","2014","million kcal","246","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0232","Eggs, other bird, in shell","2015","2015","million kcal","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0232","Eggs, other bird, in shell","2016","2016","million kcal","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0232","Eggs, other bird, in shell","2017","2017","million kcal","18","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","261","Calories/Year","0232","Eggs, other bird, in shell","2018","2018","million kcal","50","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0232","Eggs, other bird, in shell","2014","2014","tonnes","17","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0232","Eggs, other bird, in shell","2015","2015","tonnes","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0232","Eggs, other bird, in shell","2016","2016","tonnes","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0232","Eggs, other bird, in shell","2017","2017","tonnes","1","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","271","Proteins/Year","0232","Eggs, other bird, in shell","2018","2018","tonnes","3","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0232","Eggs, other bird, in shell","2014","2014","tonnes","18","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0232","Eggs, other bird, in shell","2015","2015","tonnes","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0232","Eggs, other bird, in shell","2016","2016","tonnes","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0232","Eggs, other bird, in shell","2017","2017","tonnes","1","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","281","Fats/Year","0232","Eggs, other bird, in shell","2018","2018","tonnes","4","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","5510","Production","21512","Fat, cattle","2014","2014","tonnes","80000","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5510","Production","21512","Fat, cattle","2015","2015","tonnes","81000","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5510","Production","21512","Fat, cattle","2016","2016","tonnes","82400","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5510","Production","21512","Fat, cattle","2017","2017","tonnes","84900","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5510","Production","21512","Fat, cattle","2018","2018","tonnes","87400","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","21512","Fat, cattle","2017","2017","tonnes","2","","Official data"
"SL","Livestock Primary","138","Mexico","5610","Import Quantity","21512","Fat, cattle","2018","2018","tonnes","50","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","21512","Fat, cattle","2015","2015","tonnes","38","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","21512","Fat, cattle","2016","2016","tonnes","32","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","21512","Fat, cattle","2017","2017","tonnes","35","","Official data"
"SL","Livestock Primary","138","Mexico","5910","Export Quantity","21512","Fat, cattle","2018","2018","tonnes","0","","Official data"
"SL","Livestock Primary","138","Mexico","5016","Loss","21512","Fat, cattle","2014","2014","tonnes","6385","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","21512","Fat, cattle","2015","2015","tonnes","6449","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","21512","Fat, cattle","2016","2016","tonnes","6566","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","21512","Fat, cattle","2017","2017","tonnes","6734","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5016","Loss","21512","Fat, cattle","2018","2018","tonnes","6923","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5023","Processed","21512","Fat, cattle","2014","2014","tonnes","73621","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5023","Processed","21512","Fat, cattle","2015","2015","tonnes","74566","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5023","Processed","21512","Fat, cattle","2016","2016","tonnes","75803","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5023","Processed","21512","Fat, cattle","2017","2017","tonnes","78177","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5023","Processed","21512","Fat, cattle","2018","2018","tonnes","80545","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21512","Fat, cattle","2014","2014","tonnes","-6","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21512","Fat, cattle","2015","2015","tonnes","-53","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21512","Fat, cattle","2016","2016","tonnes","-1","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21512","Fat, cattle","2017","2017","tonnes","-44","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21512","Fat, cattle","2018","2018","tonnes","-18","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5510","Production","21515","Fat, goats","2014","2014","tonnes","1325","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5510","Production","21515","Fat, goats","2015","2015","tonnes","1313","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5510","Production","21515","Fat, goats","2016","2016","tonnes","1318","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5510","Production","21515","Fat, goats","2017","2017","tonnes","1326","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5510","Production","21515","Fat, goats","2018","2018","tonnes","1328","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21515","Fat, goats","2014","2014","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21515","Fat, goats","2015","2015","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21515","Fat, goats","2016","2016","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21515","Fat, goats","2017","2017","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5166","Residuals","21515","Fat, goats","2018","2018","tonnes","0","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","21515","Fat, goats","2014","2014","tonnes","1325","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","21515","Fat, goats","2015","2015","tonnes","1313","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","21515","Fat, goats","2016","2016","tonnes","1318","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","21515","Fat, goats","2017","2017","tonnes","1326","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","5141","Food supply quantity (tonnes)","21515","Fat, goats","2018","2018","tonnes","1328","F","FAO estimate"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","21515","Fat, goats","2014","2014","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","21515","Fat, goats","2015","2015","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","21515","Fat, goats","2016","2016","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","21515","Fat, goats","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","664","Food supply (kcal/capita/day)","21515","Fat, goats","2018","2018","kcal/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","21515","Fat, goats","2014","2014","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","21515","Fat, goats","2015","2015","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","21515","Fat, goats","2016","2016","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","138","Mexico","665","Food supply quantity (g/capita/day)","21515","Fat, goats","2017","2017","g/capita/day","0","Fc","Calculated data"
